site,area,pub.name,pressure.group,level,smw.region,PMQ,lat,lon,lat_mpq,lon_mpq,continous.pressure.2km,Intersect_Pop_2km,Fishing_Buffer_10levels_Standardized,region,island.side,mmm.before,max.dhw,npp.max,wave.energy.mean
1,Captain cook,M10,Medium,3,NOR,NA,1.99588,-157.35986,1.99588,-157.35986,1613.276063,1209,404,North Shore,windward,28.00999937,24.74999945,979.5381087,26.2347931
2,Captain cook,L6,Low,2,NOR,X,2.01156,-157.39442,2.01156,-157.39442,808.5521265,0,809,North Shore,windward,28.01999937,24.65999945,973.7622586,0.495430694
3,North-west,L1,Low,2,NOR,X,2.0519,-157.45602,2.0684,-157.45602,808.5521265,0,809,North Shore,windward,28.02999937,24.25999946,1035.055786,25.361499
4,South bay,L7,Low,2,VAS,NA,1.853,-157.507,1.853,-157.507,808.5521265,0,809,Vaskess Bay,leeward,27.98999937,24.68999945,1043.198364,0.084292093
5,Vaskess Bay,VL3,Very low,1,VAS,X,1.84,-157.481,1.83,-157.497,0,0,0,Vaskess Bay,leeward,27.96999937,25.04999944,1031.55169,24.90151463
6,Poland,M6,Medium,3,POL,NA,1.86079,-157.55716,1.85,-157.57,1563.82819,351,1213,South Shore,leeward,27.98999937,24.70999945,984.2650146,24.79859521
7,Poland,M7,Medium,3,POL,NA,1.84306,-157.53719,1.84306,-157.53719,1212.82819,0,1213,Vaskess Bay,leeward,27.97999937,24.89999944,1043.198364,0.084292093
8,South west,M1,Medium,3,LON,X,1.886,-157.552,1.898,-157.564,1212.82819,0,1213,South Lagoon,leeward,27.98999937,24.70999945,1077.882561,24.82366817
9,South west,L4,Low,2,LON,X,1.92581,-157.50996,1.92581,-157.52646,808.5521265,0,809,Mid Lagoon,leeward,28.00999937,24.38999945,1126.021472,0.034718099
10,Bay of wrecks,VL6,Very low,1,BOW,NA,1.94902,-157.30957,1.94902,-157.30957,0,0,0,Bay of Wrecks,windward,27.98999937,25.03999944,972.9080505,0.753601933
11,Bay of wrecks,VL9,Very low,1,BOW,NA,1.914,-157.341,1.914,-157.341,0,0,0,Bay of Wrecks,windward,27.98999937,25.03999944,1015.475306,26.12732319
12,Vaskess Bay,M11,Medium,3,VAS,NA,1.85165,-157.51447,1.836,-157.51447,1212.82819,0,1213,Vaskess Bay,leeward,27.98999937,24.68999945,1043.198364,0.084292093
13,Vaskess Bay,M8,Medium,3,VAS,NA,1.848,-157.526,1.848,-157.526,1212.82819,0,1213,Vaskess Bay,leeward,27.97999937,24.89999944,1043.198364,0.084292093
14,South west/poland,M4,Medium,3,POL,NA,1.87482,-157.56383,1.87482,-157.56383,1159.552126,351,809,South Shore,leeward,27.98999937,24.70999945,984.2650146,24.79859521
15,North wang,VL1,Very low,1,BOW,X,1.82843,-157.32182,1.84243,-157.31182,0,0,0,Bay of Wrecks,windward,27.95999938,25.27999943,1003.661438,26.40668069
16,North wang,VL11,Very low,1,BOW,NA,1.84793,-157.34068,1.84793,-157.34068,0,0,0,Bay of Wrecks,windward,27.95999938,25.27999943,1015.121226,26.07358823
17,North wang,VL13,Very low,1,NWA,NA,1.77606,-157.21608,1.77606,-157.21608,0,0,0,Bay of Wrecks,windward,27.94999938,25.55999943,1019.829513,27.11500922
18,North wang,VL8,Very low,1,NWA,NA,1.794167,-157.249211,1.79129,-157.24971,0,0,0,Bay of Wrecks,windward,27.94999938,25.55999943,993.428,0.567288
19,North wang,VL2,Very low,1,NWA,X,1.80255,-157.27339,1.817,-157.26639,0,0,0,Bay of Wrecks,windward,27.95999938,25.33999943,993.4283691,0.567288082
20,Bay of wrecks,VL5,Very low,1,BOW,NA,1.864,-157.343,1.864,-157.327,0,0,0,Bay of Wrecks,windward,27.96999937,25.19999944,1015.121226,26.07358823
21,Bay of wrecks,VL10,Very low,1,BOW,NA,1.944,-157.319,1.944,-157.319,0,0,0,Bay of Wrecks,windward,27.98999937,25.03999944,972.9080505,0.753601933
22,Captain cook,M9,Medium,3,NOR,NA,1.99958,-157.37544,2.1,-157.37544,1116.031547,307,809,North Shore,windward,28.00999937,24.74999945,996.5079811,25.83251057
23,Captain cook,L5,Low,2,NOR,NA,1.99243,-157.33113,1.99243,-157.33113,404.2760632,0,404,North Shore,windward,27.99999937,24.98999944,979.5381087,26.2347931
24,North-west,L3,Low,2,NOR,NA,2.03144,-157.41678,2.03144,-157.41678,808.5521265,0,809,North Shore,windward,28.01999937,24.49999945,992.5405506,25.54816434
25,North-west,M5,Medium,3,NOR,X,2.05002,-157.48611,2.06652,-157.48611,1616.723937,0,1617,North Shore,windward,28.02999937,24.25999946,1035.055786,25.361499
26,London,H2,High,4,LON,X,2.03889,-157.49905,2.03889,-157.49905,2074.674393,458,1617,North Lagoon,leeward,28.01999937,24.35999946,1097.180082,24.95305044
27,London,VH1,Very high,5,LON,X,2.00973,-157.48941,2.00973,-157.50591,7276,4042,3234,North Lagoon,leeward,28.01999937,24.35999946,1111.995276,0.021591085
28,South wang,VL15,Very low,1,KWR,NA,1.715,-157.251,1.715,-157.251,0,0,0,Not Assigned,Not Assigned,27.93999938,25.65999943,1091.74432,0.05404671
29,South wang,VL14,Very low,1,KWR,NA,1.719,-157.254,1.719,-157.254,0,0,0,Not Assigned,Not Assigned,27.93999938,25.65999943,1091.74432,0.05404671
30,London,VH3,Very high,5,LON,X,2.02572,-157.498,2.02572,-157.5145,5085.684783,3065,2021,North Lagoon,leeward,28.01999937,24.35999946,1097.180082,24.95305044
31,Lagoon mouth/london,VH4,Very high,5,LON,NA,1.9921,-157.48289,1.9921,-157.48289,5328.680152,1691,3638,Mid Lagoon,leeward,28.01999937,24.32999946,1158.555862,0.062983074
32,Lagoon mouth/london,VH2,Very high,5,LON,X,1.984,-157.482,1.984,-157.4985,4860.745702,1223,3638,Mid Lagoon,leeward,28.01999937,24.32999946,1158.555862,0.062983074
33,Lagoon mouth/south west,M12,Medium,3,LON,NA,1.93884,-157.49638,1.93884,-157.51996,1212.82819,0,1213,Mid Lagoon,leeward,28.00999937,24.44999945,1212.447399,0.072102943
34,South west,M3,Medium,3,LON,X,1.90992,-157.53456,1.91992,-157.54856,1212.82819,0,1213,South Lagoon,leeward,28.00999937,24.38999945,1070.261816,0.063914835
35,South west,M2,Medium,3,LON,X,1.89417,-157.54283,1.90617,-157.55483,1212.82819,0,1213,South Lagoon,leeward,27.98999937,24.68999945,1077.882561,24.82366817
36,Vaskess Bay,VL7,Very low,1,VAS,NA,1.84967,-157.49196,1.84967,-157.49196,0,0,0,Vaskess Bay,leeward,27.96999937,25.04999944,1031.55169,24.90151463
37,Vaskess Bay,VL4,Very low,1,VAS,X,1.82799,-157.47693,1.82799,-157.49293,0,0,0,Vaskess Bay,leeward,27.96999937,25.04999944,1028.870517,0.152754844
38,North-west,L2,Low,2,NOR,NA,2.04572,-157.43373,2.04572,-157.43373,808.5521265,0,809,North Shore,windward,28.01999937,24.49999945,992.5405506,25.73490222
39,North wang,VL12,Very low,1,NWA,NA,1.81111,-157.30023,1.81111,-157.30023,0,0,0,Bay of Wrecks,windward,27.95999938,25.27999943,1003.661438,26.40668069
40,Lagoon mouth,H1,High,4,LON,X,1.96364,-157.48775,1.96364,-157.50425,2425.276063,0,2425,Mid Lagoon,leeward,28.01999937,24.32999946,1158.555862,0.062983074
